"📢推播設定時間
",,📢推播成效每周二、五更新,🤖🏆開啟率最高前五名(推播數量>=5筆),📢扭蛋機排程表看後台,,,🤖推播開啟率中位數,,,📢其他注意,,,,,,,
新SLOT-12:05、直播抽獎-活動前3分鐘,,,通關地圖、CCU紅包、每日登入、直播抽獎、外贈送寶石,,,,0.109%,,,颱風天通常會加開活動,,,,,,,
,,,,,,,,,,,,,,,,,
日期,時間,標題(最多10個字),內容,節慶,活動分類,狀態,🤖點閱次數,🤖發送次數,開啟率,🤖開啟率中位數,,🤖項目,,🤖開啟率中位數,,🤖有效數量(有開啟率的),📢推播設定邏輯
2024/6/10,19:00:00,端午專屬海皇現身啦！,啾啾啾~猜猜海皇是誰呢?,端午,活動海皇,已發送,,,0.096%,,,闖關任務,,0.095%,,10,
2024/6/11,19:00:00,玩牌桌還有超好康回饋！,您的美女荷官正在等您哦！,-,牌桌返水,已發送,,,0.086%,,,外贈送卡,,0.112%,,10,
2024/6/12,19:00:00,你今天許願了嗎?,最後一天！快來儲值抽元素女神卡包~,-,儲值小瑪莉,已發送,,,0.106%,,,遊戲主打榜,,0.112%,,5,
2024/6/13,19:00:00,想拿寶石趁現在！,擊殺海皇達指定門檻就送寶石喔！,-,魚機外贈送寶石,已發送,,,0.087%,,,循環寶箱,,0.114%,,9,
2024/6/14,19:00:00,加碼30%真的超好刮！,超讚回饋%數，立即刮好刮滿！,-,刮刮卡加碼,已發送,,,0.089%,,,聚寶聯名,,0.125%,,2,
2024/6/15,20:00:00,小妹來送幸福紅包啦！,台灣黑熊(金鑽版)威力卡等多項好禮送乎你！,-,CCU紅包,已發送,,,0.319%,,,兌換升級(烤肉),,0.109%,,6,
2024/6/16,20:00:00,又要送各位免費紅包了！,台灣黑熊(金鑽版)威力卡、寶石、金幣全送乎你！,-,CCU紅包,已發送,,,0.297%,,,廳館打怪,,0.129%,,4,
2024/6/17,19:00:00,免費金幣上哪領？,登入就刮金幣，VIP再加乘滿足你的心！,-,每日登入,已發送,,,0.273%,,,戳戳樂,,0.114%,,4,
2024/6/18,19:00:00,儲值達標就抽好康的？,是麻雀無雙(黃金版)、悟空(黃金版)、龍舟的卡啊！,-,儲值抽卡,已發送,,,0.209%,,,升等抽獎,,0.093%,,7,
2024/6/19,19:00:00,拿紅紫卡太強了吧！,快收集愛心來兌換你的獎勵！,-,強化兌換,已發送,,,0.221%,,,紅包牆+公會榜,,0.115%,,2,
2024/6/20,19:00:00,想拿魚機卡包趁現在！,每天押碼達門檻就送乎你！,-,天天捕魚,已發送,,,0.158%,,,連贏賞,,0.092%,,9,
2024/6/21,19:00:00,限時加倍掉寶物啦！,入手卡片、碎片就趁現在！,-,掉寶加倍,已發送,,,0.103%,,,大富翁,,0.106%,,1,
2024/6/22,19:00:00,免費金幣在哪兒？,【登入】金幣就給你！,-,每日登入,已發送,,,0.201%,,,賓果返水,,0.098%,,4,
2024/6/23,19:00:00,限時寶物大加倍！,讓你的背包卡片碎片大暴增！,-,掉寶加倍,已發送,,,0.117%,,,短時競賽,,0.148%,,1,
2024/6/24,19:00:00,送你暢遊東京五天四夜！,活動開跑！快來收集換好禮！,-,集字兌換,已發送,,,0.084%,,,刮卡加碼,,0.091%,,5,
2024/6/25,19:00:00,客官快看過來！,收集魚幣~稀有【道具】任君選！,-,魚機積分任務,已發送,,,0.121%,,,隔日券,,0.085%,,6,
2024/6/26,19:00:00,超高牌桌回饋你獨享！,累積押注量，回饋獎勵一次讓你抱回家~,-,牌桌返水,已發送,,,0.136%,,,魚機單日榜,,0.059%,,2,
2024/6/28,19:00:00,集字讓你換機票！,快來收集大獎！,-,集字兌換,已發送,,,0.142%,,,特殊返水,,0.089%,,9,
2024/6/29,19:00:00,MEGA WIN限時狂歡！,千顆寶石獎勵爆滿老虎機！,-,外贈送寶石,已發送,,,0.147%,,,事前預約,,0.090%,,3,
2024/6/30,19:00:00,抽獎活動要結束囉！,抽中輕航機讓你暢遊世界~,-,抽獎券,已發送,,,0.150%,,,單日榜,,0.101%,,2,
2024/7/1,19:00:00,快來釣你的魚機卡包！,押注達標就送你！,-,天天捕魚,已發送,,,0.138%,,,柏青贏分榜,,0.108%,,3,
2024/7/2,19:00:00,最後倒數衝東京機票！,五天四夜之旅只差一點點！,-,集字兌換,已發送,,,0.127%,,,柏青高設定,,0.073%,,2,
2024/7/3,19:00:00,7點直播抽輕航機！,留言【加抽紫卡】！千萬不要錯過喔～,-,直播抽獎,已發送,,,0.186%,,,柏青返水,,0.045%,,5,
